图片地址,电影名,别名,电影信息,评分,金句
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg'],"['黑客帝国2：重装上阵', '\xa0/\xa0The Matrix Reloaded']",['\xa0/\xa022世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台)'],"['\n                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski\xa0\xa0\xa0...', '\n                            2003\xa0/\xa0美国\xa0/\xa0动作 科幻\n                        ']",['8.7'],[]
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg'],"['奇迹男孩', '\xa0/\xa0Wonder']",['\xa0/\xa0奇迹'],"['\n                            导演: 斯蒂芬·卓博斯基 Stephen Chbosky\xa0\xa0\xa0主演: 雅各布·特伦布莱 Jacob Tr...', '\n                            2017\xa0/\xa0美国 中国香港\xa0/\xa0剧情 儿童 家庭\n                        ', '\n                                ', '\n                            ']",['8.6'],['世界不完美，爱会有奇迹。']
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg'],"['步履不停', '\xa0/\xa0歩いても 歩いても']",['\xa0/\xa0横山家之味(港 / 台) '],"['\n                            导演: 是枝裕和 Hirokazu Koreeda\xa0\xa0\xa0主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...', '\n                            2008\xa0/\xa0日本\xa0/\xa0剧情 家庭\n                        ', '\n                                ', '\n                            ']",['8.8'],['日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg'],"['千年女优', '\xa0/\xa0千年女優']",['\xa0/\xa0Millennium Actress'],"['\n                            导演: 今敏 Satoshi Kon\xa0\xa0\xa0主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...', '\n                            2001\xa0/\xa0日本\xa0/\xa0动画 剧情 爱情\n                        ']",['8.8'],[]
['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg'],"['战争之王', '\xa0/\xa0Lord of War']",['\xa0/\xa0军火之王(台 / 港) '],"['\n                            导演: 安德鲁·尼科尔 Andrew Niccol\xa0\xa0\xa0主演: 尼古拉斯·凯奇 Nicolas Cage /...', '\n                            2005\xa0/\xa0美国 德国\xa0/\xa0剧情 犯罪\n                        ', '\n                                ', '\n                            ']",['8.7'],['做一颗让别人需要你的棋子。']
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg'],"['萤火虫之墓', '\xa0/\xa0火垂るの墓']",['\xa0/\xa0再见萤火虫(港)  /  萤火挽歌'],"['\n                            导演: 高畑勋 Isao Takahata\xa0\xa0\xa0主演: 辰己努 / 白石绫乃 / 志乃原良子', '\n                            1988\xa0/\xa0日本\xa0/\xa0动画 剧情 战争\n                        ']",['8.7'],[]
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg'],"['谍影重重2', '\xa0/\xa0The Bourne Supremacy']",['\xa0/\xa0叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台)'],"['\n                            导演: 保罗·格林格拉斯 Paul Greengrass\xa0\xa0\xa0主演: 马特·达蒙 Matt Damon / ...', '\n                            2004\xa0/\xa0美国 德国\xa0/\xa0动作 悬疑 惊悚\n                        ', '\n                                ', '\n                            ']",['8.7'],['谁说王家卫镜头很晃？']
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2921045013.jpg'],"['攻壳机动队', '\xa0/\xa0攻殻機動隊']",['\xa0/\xa0Ghost in the Shell'],"['\n                            导演: 押井守 Mamoru Oshii\xa0\xa0\xa0主演: 田中敦子 Atsuko Tanaka / 大冢明夫 Akio...', '\n                            1995\xa0/\xa0日本\xa0/\xa0动作 科幻 动画\n                        ']",['9.0'],[]
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg'],"['蜘蛛侠：平行宇宙', '\xa0/\xa0Spider-Man: Into the Spider-Verse']",['\xa0/\xa0蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台)'],"['\n                            导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey\xa0\xa0\xa0主...', '\n                            2018\xa0/\xa0美国\xa0/\xa0动作 科幻 动画 冒险\n                        ']",['8.6'],[]
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151245053.jpg'],"['冰雪奇缘', '\xa0/\xa0Frozen']",['\xa0/\xa0魔雪奇缘(港)  /  冰雪大冒险'],"['\n                            导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee\xa0\xa0\xa0主演: 克里斯汀...', '\n                            2013\xa0/\xa0美国\xa0/\xa0喜剧 动画 奇幻 歌舞\n                        ']",['8.5'],[]
['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg'],"['血钻', '\xa0/\xa0Blood Diamond']",['\xa0/\xa0血钻石(台)  /  血腥钻石'],"['\n                            导演: 爱德华·兹威克 Edward Zwick\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 Leonardo ...', '\n                            2006\xa0/\xa0美国 德国 英国\xa0/\xa0剧情 惊悚 冒险\n                        ', '\n                                ', '\n                            ']",['8.7'],['每个美丽事物背后都是滴血的现实。']
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg'],"['魂断蓝桥', '\xa0/\xa0Waterloo Bridge']",['\xa0/\xa0滑铁卢桥  /  断桥残梦'],"['\n                            导演: 茂文·勒鲁瓦 Mervyn LeRoy\xa0\xa0\xa0主演: 费雯·丽 Vivien Leigh / 罗伯特·...', '\n                            1940\xa0/\xa0美国\xa0/\xa0剧情 爱情 战争\n                        ']",['8.8'],[]
['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374067318.jpg'],"['隐藏人物', '\xa0/\xa0Hidden Figures']",['\xa0/\xa0NASA无名英雌(港)  /  关键少数(台)'],"['\n                            导演: 特奥多尔·梅尔菲 Theodore Melfi\xa0\xa0\xa0主演: 塔拉吉·P·汉森 Taraji P. ...', '\n                            2016\xa0/\xa0美国\xa0/\xa0剧情 传记 历史\n                        ']",['8.9'],[]
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg'],"['房间', '\xa0/\xa0Room']",['\xa0/\xa0不存在的房间(台)  /  抖室(港)'],"['\n                            导演: 伦尼·阿伯拉罕森 Lenny Abrahamson\xa0\xa0\xa0主演: 布丽·拉尔森 Brie Larson...', '\n                            2015\xa0/\xa0爱尔兰 加拿大 英国 美国\xa0/\xa0剧情 家庭\n                        ', '\n                                ', '\n                            ']",['8.7'],['被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。']
['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg'],"['小姐', '\xa0/\xa0아가씨']",['\xa0/\xa0下女诱罪(港)  /  下女的诱惑(台)'],"['\n                            导演: 朴赞郁 Chan-wook Park\xa0\xa0\xa0主演: 金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...', '\n                            2016\xa0/\xa0韩国\xa0/\xa0剧情 悬疑 情色 同性\n                        ']",['8.5'],[]
